GEOID,gmfd_sd,gmfd_mad,gmfd_min
01001,0.9341,0.5127999999999999,0.02629999999999999
01003,0.9901,0.9859,0.18789999999999996
01005,0.8172,0.6043000000000001,0.05709999999999993
01009,0.40759999999999996,0.4556,0.8865999999999999
01011,0.8991,0.6519999999999999,0.07889999999999997
01013,0.9247,0.825,0.274
01015,0.6427,0.24149999999999994,0.42589999999999995
01019,0.6084,0.31599999999999995,0.3526
01021,0.9332,0.5928,0.04139999999999999
01023,0.8981,0.8895,0.1926
01025,0.942,0.8432,0.10339999999999994
01027,0.8501,0.5818,0.1622
01029,0.8992,0.7048,0.2714
01031,0.8995,0.8777,0.1604
01033,0.37670000000000003,0.20850000000000002,0.8979
01035,0.9828,0.8553999999999999,0.2229
01039,0.9624,0.9213,0.24349999999999994
01041,0.9372,0.64,0.44889999999999997
01043,0.5254,0.16379999999999995,0.7664
01045,0.8975,0.8552,0.2985
01047,0.9539,0.5437000000000001,0.04409999999999992
01049,0.7486999999999999,0.2869999999999999,0.4022
01051,0.9362,0.7021,0.11059999999999992
01053,0.9753000000000001,0.9077,0.1965
01055,0.6231,0.5767,0.43499999999999994
01057,0.5363,0.18989999999999996,0.756
01059,0.5526,0.11619999999999997,0.7422
01061,0.9357,0.8309,0.09909999999999997
01063,0.9173,0.5727,0.08660000000000001
01065,0.9178,0.7090000000000001,0.2389
01067,0.7578,0.7214,0.17009999999999992
01069,0.7725,0.7556,0.19589999999999996
01071,0.774,0.31989999999999996,0.5347999999999999
01073,0.3427,0.04369999999999996,0.5975999999999999
01075,0.478,0.06699999999999995,0.7155
01077,0.49929999999999997,0.19179999999999997,0.8038000000000001
01079,0.5410999999999999,0.39579999999999993,0.7413000000000001
01081,0.9514,0.6917,0.12469999999999992
01083,0.8704000000000001,0.6013999999999999,0.10259999999999991
01085,0.9322,0.5884,0.025399999999999978
01087,0.9487,0.8477,0.08360000000000001
01089,0.6841999999999999,0.47429999999999994,0.4478
01091,0.8873,0.8124,0.15779999999999994
01093,0.5588,0.1966,0.7308
01095,0.6578999999999999,0.2239,0.4548
01097,0.9999,0.988,0.024399999999999977
01101,0.8441000000000001,0.2734,0.08429999999999993
01103,0.8017,0.6101,0.2724
01105,0.945,0.49629999999999996,0.0837
01107,0.7352000000000001,0.20529999999999993,0.2933
01109,0.8772,0.9028,0.16489999999999994
01111,0.9448,0.7785,0.12149999999999994
01113,0.8854,0.5173,0.02629999999999999
01115,0.6931,0.7617,0.5668
01117,0.8565,0.8543000000000001,0.12329999999999997
01119,0.8183,0.27479999999999993,0.1361
01121,0.7872,0.7814,0.2822
01123,0.9632,0.9424,0.11409999999999998
01125,0.6990000000000001,0.51,0.644
01127,0.609,0.2006,0.5639000000000001
01129,0.9933,0.9882,0.06169999999999998
01131,0.9653,0.8628,0.07629999999999992
