GEOID,gmfd_mad,gmfd_sd
01001,0.35960000000000003,0.9779
01003,0.9953,1.0
01005,0.7239,0.8797
01007,0.46840000000000004,0.9818
01009,0.14969999999999994,0.7212000000000001
01011,0.7722,0.9444
01013,0.8257,0.9702
01015,0.1805,0.6262
01017,0.6997,0.9758
01019,0.08389999999999997,0.7085
01021,0.48239999999999994,0.9716
01023,0.8553,0.9856
01025,0.7974,0.9841
01027,0.5576,0.8581
01029,0.0817,0.7133
01031,0.8694999999999999,0.9561999999999999
01033,0.36829999999999996,0.7849
01035,0.8098,0.984
01037,0.7005,0.9201
01039,0.9065,0.9777
01041,0.8217,0.9458
01043,0.4306,0.7556
01045,0.53,0.9072
01047,0.8064,0.987
01049,0.12090000000000001,0.8081
01051,0.7349,0.9594
01053,0.8694,0.9926
01055,0.3477,0.7073
01057,0.4032,0.9398
01059,0.41000000000000003,0.8259
01061,0.8194,0.9583
01063,0.7404999999999999,0.9825
01065,0.7031000000000001,0.9859
01067,0.7694,0.8106
01069,0.41500000000000004,0.8802
01071,0.33499999999999996,0.8834
01073,0.45519999999999994,0.8591
01075,0.3651,0.9463
01077,0.3752,0.7926
01079,0.2603,0.7775
01081,0.8551,0.9789
01083,0.31609999999999994,0.8076
01085,0.7584,0.9722
01087,0.7787,0.9722999999999999
01089,0.6376,0.8615
01091,0.7481,0.9786
01093,0.39379999999999993,0.8912
01095,0.238,0.8182
01097,0.9921,0.9999
01099,0.6635,0.9898
01101,0.4819,0.9483
01103,0.4151,0.8017
01105,0.7051000000000001,0.9904
01107,0.5372,0.9744
01109,0.71,0.921
01111,0.4488,0.9123
01113,0.8569,0.894
01115,0.32389999999999997,0.6978
01117,0.7052,0.9029
01119,0.9148,0.9845
01121,0.5675,0.7691
01123,0.7067,0.9682
01125,0.5088999999999999,0.9656
01127,0.4696,0.8914
01129,0.9254,0.9967
01131,0.8358,0.9879
01133,0.26559999999999995,0.8336
04001,0.3186,0.6931
04003,0.9443,0.9838
04005,0.38480000000000003,0.7215
04007,0.6916,0.9479
04009,0.7154,0.9765
04011,0.40179999999999993,0.84
04012,0.45330000000000004,0.5821000000000001
04013,0.3459,0.6787
04015,0.30589999999999995,0.6788000000000001
04017,0.11099999999999999,0.6674
04019,0.6413,0.6856
04021,0.49649999999999994,0.7765
04023,0.3134,0.6529
04025,0.6505,0.6950000000000001
04027,0.6513,0.6446000000000001
05001,0.7885,0.9884
05003,0.7155,0.9869
05005,0.7216,0.9354
05007,0.6309,0.8896999999999999
05009,0.9324,0.8432999999999999
05011,0.7677,0.977
05013,0.9466,0.9752
05015,0.9747,0.748
05017,0.8103,0.9906
05019,0.9087,0.9231
05021,0.9763,0.9874
05023,0.6134999999999999,0.9088
05025,0.9045,0.9624
05027,0.8668,0.9707
05029,0.6196999999999999,0.8663000000000001
05031,0.9933,0.9904
05033,0.36729999999999996,0.8728
05035,0.8885,0.9828
05037,0.9447,0.9836
05039,0.846,0.948
05041,0.8045,0.9934
05043,0.8739,0.9873
05045,0.4215,0.8887
05047,0.5680000000000001,0.8808
05049,0.5732999999999999,0.899
05051,0.8441000000000001,0.9039
05053,0.7646999999999999,0.9343
05055,0.9752,0.9834
05057,0.8401000000000001,0.9492
05059,0.8077,0.9156
05061,0.8128,0.9477
05063,0.8406,0.9420999999999999
05065,0.5563,0.8845
05067,0.7939,0.9761
05069,0.7924,0.9611999999999999
05071,0.8672,0.8578
05073,0.8682,0.9687
05075,0.95,0.9586
05077,0.8682,0.9875
05079,0.8306,0.9819
05081,0.8606,0.9655
05083,0.8349,0.8672
05085,0.41600000000000004,0.9296
05087,0.8828,0.7656000000000001
05089,0.8624,0.9148
05091,0.7674,0.9708
05093,0.9822,0.9917
05095,0.7713,0.9822
05097,0.9305,0.919
05099,0.9279999999999999,0.9403
05101,0.7643,0.7719
05103,0.945,0.9647
05105,0.7819,0.8955
05107,0.9265,0.9912
05109,0.9284,0.9287
05111,0.9776,0.989
05113,0.635,0.9433
05115,0.7937,0.8652
05117,0.6598999999999999,0.9645
05119,0.44630000000000003,0.8939
05121,0.9616,0.9596
05123,0.8983,0.9831
05125,0.7525999999999999,0.9028
05127,0.7289,0.933
05129,0.746,0.8763
05131,0.4699,0.884
05133,0.8087,0.9662
05135,0.7591,0.9072
05137,0.5640000000000001,0.8883
05139,0.8472999999999999,0.9845
05141,0.601,0.8666
05143,0.5475,0.8843
05145,0.706,0.9478
05147,0.7807,0.9786
05149,0.749,0.8908
06001,0.0,0.0
06003,0.0,0.011399999999999966
06005,0.31689999999999996,0.2429
06007,0.0011999999999999789,0.35929999999999995
06009,0.11469999999999991,0.27959999999999996
06011,0.012199999999999989,0.032299999999999995
06013,0.0,0.0
06015,0.0,0.0
06017,0.07739999999999991,0.1624
06019,0.2368,0.5424
06021,0.0009000000000000119,0.024899999999999922
06023,0.0,0.0
06025,0.5941000000000001,0.41069999999999995
06027,0.5689,0.6513
06029,0.0021999999999999797,0.0044999999999999485
06031,0.13259999999999994,0.4194
06033,0.0,0.0
06035,0.0021999999999999797,0.07019999999999993
06037,0.0,0.0
06039,0.1996,0.5648
06041,0.0,0.0
06043,0.21899999999999997,0.4425
06045,0.0,0.0
06047,0.16949999999999998,0.31779999999999997
06049,0.0,0.042300000000000004
06051,0.07869999999999999,0.397
06053,0.0,0.0
06055,0.0,0.0
06057,0.024499999999999966,0.09289999999999998
06059,0.0,0.0
06061,0.06740000000000002,0.1683
06063,0.0,0.0252
06065,0.752,0.5327
06067,0.17099999999999993,0.19199999999999995
06069,0.0,0.0
06071,0.88,0.7818
06073,0.006000000000000005,0.0025999999999999357
06077,0.25949999999999995,0.126
06079,0.0,0.0
06083,0.0,0.0
06085,0.0,0.0
06087,0.0,0.0
06089,0.00979999999999992,0.08789999999999998
06091,0.0,0.02310000000000001
06093,0.0,0.0
06095,0.0016999999999999238,0.0029000000000000137
06097,0.0,0.0
06099,0.4405,0.25259999999999994
06101,0.17399999999999993,0.2289
06103,0.005900000000000016,0.13459999999999994
06105,0.0,0.0
06107,0.3087,0.37749999999999995
06109,0.029899999999999927,0.19219999999999993
06111,0.0,0.0
06113,0.035599999999999965,0.123
06115,0.15639999999999998,0.2522
08001,0.6517,0.7096
08003,0.06419999999999992,0.29369999999999996
08005,0.4729,0.6517999999999999
08007,0.0,0.0017999999999999128
08009,0.8865999999999999,0.9978
08011,0.9811,0.9981
08013,0.041200000000000014,0.23959999999999992
08014,0.03320000000000001,0.37459999999999993
08015,0.0,0.0
08017,0.9471,0.9808
08019,0.0,0.0
08021,0.0,0.029899999999999927
08023,0.04389999999999994,0.15159999999999996
08025,0.9795,0.9944
08027,0.0,0.0
08029,0.6925,0.5152
08031,0.32609999999999995,0.49529999999999996
08033,0.7013,0.7514000000000001
08035,0.11649999999999994,0.13249999999999995
08037,0.0,0.0
08039,0.7648,0.6528
08041,0.8652,0.7987
08043,0.5611999999999999,0.02169999999999994
08045,0.19389999999999996,0.07189999999999996
08047,0.0,0.010399999999999965
08049,0.0,0.00539999999999996
08051,0.0,0.0
08053,0.0,0.0
08055,0.7734,0.6796
08057,0.0,0.009499999999999953
08059,0.009699999999999931,0.09089999999999998
08061,0.971,0.9944
08063,0.7887,0.918
08067,0.43220000000000003,0.6033
08069,0.124,0.3377
08071,0.9184,0.9684
08073,0.9695,0.9203
08075,0.42279999999999995,0.7712
08077,0.9617,0.5427
08079,0.0,0.0
08081,0.35,0.254
08083,0.9326,0.9778
08085,0.7449,0.7959
08087,0.8674,0.8207
08089,0.9573,0.9967
08091,0.31399999999999995,0.21950000000000003
08093,0.0,0.0
08095,0.20289999999999997,0.6362
08097,0.0,0.0
08099,0.951,0.9979
08101,0.9994,0.9874
08103,0.5581,0.23839999999999995
08105,0.0,0.005299999999999971
08107,0.0,0.008499999999999952
08109,0.0,0.0
08113,0.5486,0.772
08115,0.19429999999999992,0.7136
08119,0.0,0.0
08121,0.7754,0.7676000000000001
08123,0.9172,0.7258
08125,0.38180000000000003,0.6364000000000001
09001,0.06869999999999998,0.16759999999999997
09003,0.012299999999999978,0.04369999999999996
09005,0.015499999999999958,0.05569999999999997
09007,9.999999999998899e-05,0.0036999999999999256
09009,0.018899999999999917,0.04520000000000002
09011,0.0,0.0
09013,0.0005999999999999339,0.005699999999999927
09015,0.0,0.0
10001,0.2771,0.5379
10003,0.34429999999999994,0.41579999999999995
10005,0.44099999999999995,0.8088
11001,0.3758,0.4526
12001,0.9918,1.0
12003,0.9477,0.998
12005,0.9848,0.9572
12007,0.9905,0.9999
12009,0.984,0.9907
12011,0.9532,0.9998
12013,0.9454,0.8992
12015,0.9827,0.9999
12017,1.0,1.0
12019,0.9828,0.9999
12021,0.9529,0.9999
12023,0.9792,0.999
12027,0.9975,1.0
12029,0.9964,1.0
12031,0.9801,0.9986
12033,0.9887,0.9992
12035,0.9921,1.0
12037,0.8733,0.9496
12039,0.6405000000000001,0.8943
12041,0.9945,0.9999
12043,0.9715,1.0
12045,0.8009999999999999,0.9046
12047,0.9968,0.993
12049,0.9999,1.0
12051,0.8424,0.9998
12053,0.9967,1.0
12055,0.9995,1.0
12057,0.9967,1.0
12059,0.9929,0.966
12061,0.9967,0.9991
12063,0.7986,0.8884
12065,0.9732,0.9933
12067,0.9967,0.9985
12069,0.999,1.0
