GEOID,gmfd_mad,gmfd_sd
01001,0.9983,1.0
01003,1.0,1.0
01005,0.9995,1.0
01007,0.9996,1.0
01009,0.9965,1.0
01011,0.9999,1.0
01013,0.9999,1.0
01015,0.9962,1.0
01017,1.0,1.0
01019,0.9949,1.0
01021,0.9999,1.0
01023,1.0,1.0
01025,1.0,1.0
01027,1.0,1.0
01029,0.999,1.0
01031,1.0,1.0
01033,1.0,1.0
01035,0.9999,1.0
01037,1.0,1.0
01039,1.0,1.0
01041,0.9999,1.0
01043,0.9994,1.0
01045,0.9999,1.0
01047,0.9997,1.0
01049,0.9983,1.0
01051,0.9996,1.0
01053,0.9999,1.0
01055,0.9969,1.0
01057,1.0,1.0
01059,1.0,1.0
01061,1.0,1.0
01063,1.0,1.0
01065,1.0,1.0
01067,0.9999,1.0
01069,0.9998,1.0
01071,0.9987,1.0
01073,0.9997,1.0
01075,1.0,1.0
01077,1.0,1.0
01079,1.0,1.0
01081,1.0,1.0
01083,0.9995,1.0
01085,0.9999,1.0
01087,0.9998,1.0
01089,0.9996,1.0
01091,0.9999,1.0
01093,0.9999,1.0
01095,0.9972,1.0
01097,1.0,1.0
01099,0.9999,1.0
01101,0.9983,1.0
01103,0.9996,1.0
01105,1.0,1.0
01107,0.9999,1.0
01109,0.9998,1.0
01111,0.9996,1.0
01113,0.9992,1.0
01115,0.9967,1.0
01117,0.9999,1.0
01119,1.0,1.0
01121,0.9997,1.0
01123,1.0,1.0
01125,0.9999,1.0
01127,1.0,1.0
01129,1.0,1.0
01131,1.0,1.0
01133,0.9999,1.0
04001,1.0,1.0
04003,1.0,1.0
04005,1.0,1.0
04007,1.0,1.0
04009,1.0,1.0
04011,1.0,1.0
04012,1.0,1.0
04013,1.0,1.0
04015,1.0,1.0
04017,1.0,1.0
04019,1.0,1.0
04021,1.0,1.0
04023,1.0,1.0
04025,1.0,1.0
04027,1.0,1.0
05001,1.0,1.0
05003,1.0,1.0
05005,1.0,1.0
05007,1.0,1.0
05009,1.0,1.0
05011,1.0,1.0
05013,1.0,1.0
05015,1.0,1.0
05017,1.0,1.0
05019,1.0,1.0
05021,1.0,1.0
05023,1.0,1.0
05025,1.0,1.0
05027,1.0,1.0
05029,1.0,1.0
05031,1.0,1.0
05033,1.0,1.0
05035,1.0,1.0
05037,1.0,1.0
05039,1.0,1.0
05041,1.0,1.0
05043,1.0,1.0
05045,1.0,1.0
05047,1.0,1.0
05049,1.0,1.0
05051,1.0,1.0
05053,1.0,1.0
05055,1.0,1.0
05057,1.0,1.0
05059,1.0,1.0
05061,1.0,1.0
05063,1.0,1.0
05065,1.0,1.0
05067,1.0,1.0
05069,1.0,1.0
05071,1.0,1.0
05073,1.0,1.0
05075,1.0,1.0
05077,1.0,1.0
05079,1.0,1.0
05081,1.0,1.0
05083,1.0,1.0
05085,1.0,1.0
05087,1.0,1.0
05089,1.0,1.0
05091,1.0,1.0
05093,1.0,1.0
05095,1.0,1.0
05097,1.0,1.0
05099,1.0,1.0
05101,1.0,1.0
05103,1.0,1.0
05105,1.0,1.0
05107,1.0,1.0
05109,1.0,1.0
05111,1.0,1.0
05113,1.0,1.0
05115,1.0,1.0
05117,1.0,1.0
05119,1.0,1.0
05121,1.0,1.0
05123,1.0,1.0
05125,1.0,1.0
05127,1.0,1.0
05129,1.0,1.0
05131,1.0,1.0
05133,1.0,1.0
05135,1.0,1.0
05137,1.0,1.0
05139,1.0,1.0
05141,1.0,1.0
05143,1.0,1.0
05145,1.0,1.0
05147,1.0,1.0
05149,1.0,1.0
06001,1.0,1.0
06003,1.0,1.0
06005,0.9999,1.0
06007,0.717,0.9998
06009,0.9991,1.0
06011,0.9658,1.0
06013,1.0,1.0
06015,0.9892,1.0
06017,0.9999,1.0
06019,1.0,1.0
06021,0.8568,0.9996
06023,1.0,1.0
06025,1.0,1.0
06027,1.0,1.0
06029,1.0,1.0
06031,0.996,1.0
06033,0.9989,1.0
06035,0.9428,1.0
06037,1.0,1.0
06039,0.9998,1.0
06041,1.0,1.0
06043,0.9999,1.0
06045,0.9997,1.0
06047,1.0,1.0
06049,0.5749,0.9998
06051,1.0,1.0
06053,1.0,1.0
06055,1.0,1.0
06057,0.9984,1.0
06059,1.0,1.0
06061,0.9991,1.0
06063,0.9995,1.0
06065,1.0,1.0
06067,0.9875,0.9987
06069,1.0,1.0
06071,1.0,1.0
06073,1.0,1.0
06075,1.0,1.0
06077,0.9984,1.0
06079,1.0,1.0
06081,1.0,1.0
06083,1.0,1.0
06085,1.0,1.0
06087,1.0,1.0
06089,0.49729999999999996,0.9993
06091,1.0,1.0
06093,0.7716000000000001,1.0
06095,0.9999,1.0
06097,0.9907,1.0
06099,0.9997,1.0
06101,0.8523000000000001,0.9768
06103,0.8577,0.9998
06105,0.9983,1.0
06107,1.0,1.0
06109,1.0,1.0
06111,1.0,1.0
06113,0.9816,0.9999
06115,0.904,0.9894
08001,0.17409999999999992,0.9988
08003,0.07779999999999998,1.0
08005,0.2546999999999999,0.9999
08007,0.4859,1.0
08009,1.0,1.0
08011,0.9429,1.0
08013,0.0013999999999999568,0.9999
08014,9.999999999998899e-05,0.9974
08015,1.0,1.0
08017,0.9996,1.0
08019,1.0,1.0
08021,0.8539,1.0
08023,0.9063,1.0
08025,0.3488,0.9985
08027,1.0,1.0
08029,0.5128999999999999,0.9998
08031,0.007499999999999951,0.9988
08033,0.9986,1.0
08035,0.06729999999999992,0.9997
08037,1.0,1.0
08039,0.5427,0.9999
08041,0.12890000000000001,0.9994
08043,0.4081,0.9999
08045,0.9405,0.9999
08047,1.0,1.0
08049,1.0,1.0
08051,1.0,1.0
08053,1.0,1.0
08055,0.7736000000000001,1.0
08057,1.0,1.0
08059,0.0045999999999999375,1.0
08061,0.9992,1.0
08063,0.9811,1.0
08065,1.0,1.0
08067,0.7556,1.0
08069,0.06809999999999994,1.0
08071,0.9339999999999999,1.0
08073,0.8263,0.9998
08075,0.4214,0.9999
08077,0.971,1.0
08079,1.0,1.0
08081,0.5705,0.9993
08083,0.9595,1.0
08085,0.923,1.0
08087,0.30479999999999996,0.9976
08089,0.3256,0.9982
08091,0.9998,1.0
08093,1.0,0.9999
08095,0.8573999999999999,1.0
08097,1.0,1.0
08099,1.0,1.0
08101,0.123,0.9967
08103,0.6187,0.9997
08105,0.968,1.0
08107,0.9336,1.0
08109,0.9989,1.0
08111,1.0,1.0
08113,0.9859,1.0
08115,0.8168,1.0
08117,1.0,1.0
08119,1.0,1.0
08121,0.7167,1.0
08123,0.2288,0.9983
08125,0.922,0.9999
09001,0.04569999999999996,0.9985
09003,0.1089,0.997
09005,0.24839999999999995,0.9975
