GEOID,Year,GMFD
01001,1960,-0.1535071522237172
01001,1961,0.2297076833466627
01001,1962,-0.4932936163116921
01001,1963,-0.0906160339866119
01001,1964,0.10837990572146833
01001,1965,0.17843185742416642
01001,1966,0.028539662254570483
01001,1967,0.3229377271995886
01001,1968,-0.2724130285337829
01001,1969,-0.23758044618641017
01001,1970,-0.09879411150959076
01001,1971,0.08377764653630443
01001,1972,-0.09476747580472941
01001,1973,0.12106859396699565
01001,1974,0.1929794529588708
01001,1975,0.3198372234967256
01001,1976,0.04440268862905512
01001,1977,-0.4943857062208579
01001,1978,-0.18395460223627436
01001,1979,0.2751221562889832
01001,1980,-0.4020404765294635
01001,1981,-0.31285284960637333
01001,1982,0.06273053301637788
01001,1983,-0.10409312227862544
01001,1984,0.20228865960267073
01001,1985,0.03941146867136491
01001,1986,-0.3222472401697462
01001,1987,-0.31908858434292103
01001,1988,-0.2730555791553739
01001,1989,0.1895080915276434
01001,1990,-0.27348775726731295
01001,1991,0.2790018183928516
01001,1992,0.22872397820768073
01001,1993,-0.2911886286031504
01001,1994,0.460708204650523
01001,1995,-0.14538283072003916
01001,1996,0.15889830949640382
01001,1997,0.37355248808163044
01001,1998,-0.35910655619925175
01001,1999,0.0973832614522324
01001,2000,-0.5162645092600403
01001,2001,0.39610784233461976
01001,2002,0.26844764094504414
01001,2003,0.44757713145286426
01001,2004,0.12466698273957261
01001,2005,0.20392929875109125
01003,1960,0.01923192249300644
01003,1961,0.12862370531383502
01003,1962,-0.17192104900229094
01003,1963,-0.1306141020649941
01003,1964,0.019058124611276345
01003,1965,0.09811069819964685
01003,1966,0.006734284999510537
01003,1967,-0.08147509845291684
01003,1968,-0.21650765134545358
01003,1969,0.058623403721191014
01003,1970,0.057095591876468454
01003,1971,-0.05795874019724645
01003,1972,-0.04266563041505991
01003,1973,0.06809483526580021
01003,1974,-0.000493328069805482
01003,1975,0.12715033046860197
01003,1976,0.014134981865857835
01003,1977,-0.1323200277477875
01003,1978,0.08101596633290858
01003,1979,0.08337803262457469
01003,1980,-0.01718793797057952
01003,1981,-0.1470499121664876
01003,1982,0.0009891052421514418
