GEOID,GDDc,KDDc,Pc,P2c,R2,pval
01001,0.0006499227309834186,-0.009132523519363268,0.6386644905948843,-0.30687530307719124,0.4521732210547432,7.862108435956486e-05
01003,0.0,-0.0022193138999986825,1.5151950752639485,-0.644551089326677,0.19912167231925337,0.0703870846611431
01005,0.00014790316053777988,-0.004831580023000171,0.820174267110274,-0.5242302920310484,0.33745900900081693,0.0029714017802447206
01009,0.000976920395311524,-0.010828745778452581,0.0,-0.5388655101533681,0.6313684617947024,7.569496792145274e-08
01011,0.00028969211231795266,-0.00611869830660084,0.0,-0.09990990479925262,0.2946745434129209,0.028830497307330758
01013,0.0006526573778629574,-0.006036900038672035,3.0334610518522838,-1.6906290343426937,0.3177464863398384,0.005827451846620563
01015,0.0007802767143302544,-0.010940278528652767,0.0,-0.4467291715153406,0.49270161991367833,6.689424207510817e-05
01019,0.00039881540199263363,-0.013574596627645335,0.0,-0.22476659266901233,0.6253615847443057,6.394912591948033e-08
01021,0.00048757269286698956,-0.008442014881928231,0.7028239699814655,-0.5255793629165431,0.44958943492733017,0.003796940965736645
01023,0.000379745609242228,-0.008900566925293467,0.0,-0.20915629497189697,0.5951454523500699,2.965942510425246e-05
01025,0.0,-0.006534021811509799,0.0,-0.11235814879433431,0.32588403937156185,0.022261012962612268
01027,0.0005115594642009727,-0.010302271307726743,0.0,-0.12914076099584418,0.6064172156635903,0.0006301184732732289
01029,5.7290416670296745e-05,-0.010757976407664816,0.0,-0.5328592803880201,0.49607366158140687,0.0013708068217394345
01031,0.00021965107114662298,-0.007228005483206898,2.0049678201667116,-1.1745018258864122,0.5988972140841768,3.585461840042926e-07
01033,0.0007813036983286154,-0.008851394163747882,0.0,-0.3151787421233011,0.612721659028904,1.198554251777369e-07
01035,5.9818625183806075e-06,-0.005413301743281815,3.92279141248476,-2.1168326000958126,0.3897521526062182,0.0007065967172014271
01039,0.00047861013435569093,-0.007662250013140177,4.246298405933685,-2.3630461342869835,0.5076115463828876,1.5169786984512888e-05
01041,0.0,-0.005735647488964908,5.760101687110334,-3.4853124269078,0.4927710623241498,6.674260475237538e-05
