GEOID,bw
01001,0.09326642422286424
01003,0.029476293330481337
01005,0.04040862803864272
01009,0.09214049350099811
01011,0.04821329117182864
01013,0.059792535232464826
01015,0.09164716546826504
01019,0.09035492040425312
01021,0.07556731874607536
01023,0.08173514069606597
01025,0.06552517959412284
01027,0.08138112306857742
01029,0.09104752115315161
01031,0.062258725378297276
01033,0.06845543621128218
01035,0.046481092847364916
01039,0.08102460853990048
01041,0.0696446213764469
01043,0.09028025960391756
01045,0.06123002196198341
01047,0.07076227796754724
01049,0.08291981675322532
01051,0.09108698622029957
01053,0.05579727806038798
01055,0.08801907221348058
01057,0.07030733267257658
01059,0.05235378336538238
01061,0.059151459945702034
01063,0.09675829335878067
01065,0.07492546167530248
01067,0.04662764740547225
01069,0.051328520355228766
01071,0.0858345728169818
01073,0.07251628846690457
01075,0.07243310671558212
01077,0.057490048209616694
01079,0.09300318883159331
01081,0.08208843324359309
01083,0.06849574491316915
01085,0.08420842794489941
01087,0.06140198184862781
01089,0.07491101730769367
01091,0.03958292301513508
01093,0.07393575245628951
01095,0.06469877753668184
01097,0.04195366084001442
01101,0.04006493679465455
01103,0.07114019872744373
01105,0.0565855411614969
01107,0.06456310227941615
01109,0.03353336785842574
01111,0.06355195892460502
01113,0.051459027233928464
01115,0.07640064827203788
01117,0.05593885323944699
01119,0.04641551570555154
01121,0.07851549993494464
01123,0.0911881642450908
01125,0.09357454698774574
01127,0.09892193152395812
01129,0.0366913508800877
01131,0.04751524448721531
01133,0.09924931443285523
04003,0.018312928915422702
04009,0.02399965571253406
04013,0.025168078186927574
04021,0.026367266513472702
04025,0.042835359402726335
04027,0.021019480218544336
05001,0.06528841878394431
05003,0.022080248508365506
05007,0.030208237756774354
05013,0.04820780110927053
05017,0.030518285480885334
05019,0.02479228878872941
05021,0.046684576054486726
05023,0.023286098947403244
05029,0.05239990305636827
05031,0.04616140803983815
05033,0.028532595756743526
05035,0.033954432082947905
05037,0.0482540527796482
05041,0.02260288670702599
05043,0.04077348907470192
05045,0.022030483704152455
