GEOID,gmfd_mad,gmfd_sd
13175,0.1592,0.8585
13177,0.7744,0.806
13179,0.7852,0.9563
13181,0.30199999999999994,0.49119999999999997
13183,0.6344000000000001,0.9528
13185,0.665,0.9741
13187,0.5044,0.8452999999999999
13189,0.5716,0.6081
13191,0.6466000000000001,0.9708
13193,0.2449,0.6467
13195,0.1533,0.375
13197,0.9415,0.7425999999999999
13199,0.9937,0.8576
13201,0.8623000000000001,0.7573
13205,0.8236,0.8864
13207,0.46729999999999994,0.5735
13209,0.5332,0.9504
13211,0.07569999999999999,0.35639999999999994
13213,0.9843,0.9312
13215,0.8795999999999999,0.8210999999999999
13217,0.06829999999999992,0.42510000000000003
13219,0.08339999999999992,0.3932
13221,0.04459999999999997,0.31189999999999996
13223,0.873,0.952
13225,0.2098,0.5254
13227,0.9549,0.9327
13229,0.7545,0.9589
13231,0.8259,0.7874
13233,0.9737,0.9529
13235,0.2551,0.7664
13237,0.05030000000000001,0.39059999999999995
13239,0.9245,0.8315
13241,0.6797,0.5035000000000001
13243,0.9569,0.8687
13245,0.9702,0.778
13247,0.22129999999999994,0.45499999999999996
13249,0.8337,0.7304999999999999
13251,0.5974999999999999,0.8716
13253,0.6656,0.6366
13255,0.6826,0.7446999999999999
13257,0.5099,0.2784
13259,0.966,0.8133
13261,0.6294,0.7179
13263,0.8358,0.7451
13265,0.09319999999999995,0.34719999999999995
13267,0.5167999999999999,0.9264
13269,0.6421,0.6856
13271,0.6859999999999999,0.9568
13273,0.9243,0.8471
13275,0.6308,0.9698
13277,0.5047999999999999,0.8741
13279,0.4438,0.9373
13281,0.6722,0.8355
13283,0.5094,0.8924
13285,0.9896,0.8817
13287,0.362,0.8262
13289,0.021599999999999953,0.6207
13291,0.685,0.9033
13293,0.5163,0.722
13295,0.9944,0.9015
13297,0.06689999999999996,0.3699
13299,0.6542,0.983
13301,0.4939,0.5974999999999999
13303,0.2852,0.6413
13305,0.5748,0.9673
13307,0.9272,0.7874
13309,0.4286,0.9585
13311,0.41179999999999994,0.776
13313,0.9871,0.9024
13315,0.34719999999999995,0.7972
13317,0.04809999999999992,0.29499999999999993
13319,0.11949999999999994,0.6168
13321,0.5317000000000001,0.8407
16001,0.15249999999999997,0.3922
16003,0.06799999999999995,0.5342
16005,0.00539999999999996,0.1735
16007,0.018399999999999972,0.2691
16009,0.6939,0.9198
16011,0.0011999999999999789,0.028799999999999937
16013,0.0006999999999999229,0.026899999999999924
16015,0.0655,0.17959999999999998
16017,0.8727,0.9874
16019,0.027599999999999958,0.48019999999999996
16021,0.9346,0.9696
16023,0.0020000000000000018,0.014000000000000012
16025,0.025399999999999978,0.1251
16027,0.01629999999999998,0.17989999999999995
16029,0.017000000000000015,0.5013
16031,0.027999999999999914,0.20240000000000002
16033,0.09289999999999998,0.47029999999999994
16035,0.9961,0.9992
16037,0.00539999999999996,0.18419999999999992
16039,0.11370000000000002,0.3067
16041,0.017100000000000004,0.24359999999999993
16043,0.11299999999999999,0.8374
16045,0.026699999999999946,0.07769999999999999
16047,0.04849999999999999,0.09919999999999995
16049,0.9668,0.9976
16051,0.020399999999999974,0.11619999999999997
16053,0.08879999999999999,0.018000000000000016
16055,0.5608,0.9214
16057,0.6277999999999999,0.9661
16059,0.16909999999999992,0.7442
16061,0.8139000000000001,0.9869
16063,0.05630000000000002,0.0030000000000000027
16065,0.09970000000000001,0.5924
16067,0.0036999999999999256,0.0035999999999999366
16069,0.6958,0.9578
16071,0.011099999999999999,0.25
16073,0.07589999999999997,0.6192
16075,0.04489999999999994,0.013799999999999923
16077,0.0044999999999999485,0.10980000000000001
16079,0.9133,0.9769
16081,0.16199999999999992,0.6452
16083,0.0343,0.15769999999999995
16085,0.12649999999999995,0.5720000000000001
16087,0.01629999999999998,0.14389999999999992
17001,0.08979999999999999,0.3738
17003,0.5609,0.9566
17005,0.2647999999999999,0.8489
17007,0.59,0.614
17009,0.30599999999999994,0.42279999999999995
17011,0.7293000000000001,0.5488999999999999
17013,0.5853999999999999,0.5081
17015,0.4334,0.39849999999999997
17017,0.4689,0.4891
17019,0.5012,0.7935
17021,0.5811999999999999,0.5704
17023,0.29879999999999995,0.8462000000000001
17025,0.2732,0.7666
17027,0.2178,0.8844
17029,0.34409999999999996,0.7088
17031,0.55,0.8797
17033,0.25959999999999994,0.8399
17035,0.32889999999999997,0.6333
17037,0.2532,0.6455
17039,0.7168,0.6788000000000001
17041,0.5067999999999999,0.7323999999999999
17043,0.3629,0.7418
17045,0.3349,0.7851
17047,0.2649,0.7867999999999999
17049,0.33219999999999994,0.6827
17051,0.29710000000000003,0.8156
17053,0.7408,0.8051
17055,0.49029999999999996,0.9304
17057,0.9034,0.36149999999999993
17059,0.5085999999999999,0.905
17061,0.6444,0.5625
17063,0.7233,0.7767999999999999
17065,0.6342,0.9094
17067,0.637,0.5223
17069,0.3951,0.9496
17071,0.6756,0.41700000000000004
17073,0.7256,0.33509999999999995
17075,0.7675,0.7738
17077,0.6066,0.8371999999999999
17079,0.24869999999999992,0.6333
17081,0.4909,0.9205
17083,0.2509,0.5167999999999999
17085,0.3742,0.5081
17087,0.5134,0.983
17089,0.1562,0.6835
17091,0.9624,0.8858
17093,0.2117,0.7042999999999999
17095,0.8531,0.24180000000000001
17097,0.9388,0.8874
17099,0.6881999999999999,0.609
17101,0.6174999999999999,0.845
17103,0.35529999999999995,0.49260000000000004
17105,0.9257,0.663
17107,0.7,0.493
17109,0.9108,0.5637
17111,0.5333,0.7283999999999999
17113,0.7877000000000001,0.6505
17115,0.5687,0.5464
17117,0.4899,0.5650999999999999
17119,0.20689999999999997,0.7105
17121,0.2631,0.8888
17123,0.8397,0.4524
17125,0.8371,0.31899999999999995
17127,0.9484,0.9953
17129,0.9037999999999999,0.3276
17131,0.3942,0.07950000000000002
17133,0.23549999999999993,0.7584
17135,0.6215999999999999,0.7117
17137,0.8508,0.5639000000000001
17139,0.6326,0.6155999999999999
17141,0.26659999999999995,0.41600000000000004
17143,0.5759,0.1996
17145,0.15810000000000002,0.8117
17147,0.4819,0.6456999999999999
17149,0.5042,0.39959999999999996
17151,0.6638,0.9807
17153,0.7354,0.9838
17155,0.9460999999999999,0.5485
17157,0.19940000000000002,0.7077
17159,0.6688000000000001,0.6674
17161,0.5339,0.11649999999999994
17163,0.08499999999999996,0.6568
17165,0.5928,0.9372
17167,0.7757000000000001,0.4263
17169,0.3609,0.5368999999999999
17171,0.7958000000000001,0.5075000000000001
17173,0.6369,0.6678999999999999
17175,0.6249,0.4011
17177,0.264,0.44309999999999994
17179,0.8309,0.34450000000000003
17181,0.29479999999999995,0.9341
17183,0.7462,0.8084
17185,0.6357999999999999,0.883
17187,0.7942,0.3305
17189,0.15710000000000002,0.8357
17191,0.3963,0.8536
17193,0.44519999999999993,0.8495
17195,0.20009999999999994,0.3637
17197,0.44499999999999995,0.8109
17199,0.3010999999999999,0.951
17201,0.10429999999999995,0.4438
17203,0.6849000000000001,0.40249999999999997
18001,0.6715,0.9404
18003,0.844,0.9775
18005,0.7535000000000001,0.909
18007,0.922,0.9657
18009,0.7892,0.9382
18011,0.7726999999999999,0.98
18013,0.8102,0.9131
18015,0.983,0.9923
18017,0.971,0.9797
18019,0.29579999999999995,0.9422
18021,0.6341,0.8852
18023,0.9697,0.9952
18025,0.2542,0.8631
18027,0.5972,0.8132
18029,0.7367,0.9278
18031,0.8595,0.9471
18033,0.9185,0.9825
18035,0.6814,0.9442
18037,0.32389999999999997,0.8547
18039,0.982,0.9808
18041,0.4728,0.9341
18043,0.2903,0.9222
18045,0.7948,0.9641
18047,0.8321000000000001,0.9239999999999999
18049,0.9749,0.9648
18051,0.8564,0.919
18053,0.8881,0.9181
18055,0.37359999999999993,0.8775
18057,0.7323,0.9360999999999999
18059,0.6839,0.8583000000000001
18061,0.2891,0.9174
18063,0.7033,0.9326
18065,0.7008,0.8996
18067,0.9458,0.9742
18069,0.849,0.9625
18071,0.3044,0.925
18073,0.9973,0.9955
18075,0.8163,0.887
18077,0.6735,0.9108
18079,0.4726,0.9239999999999999
18081,0.5104,0.8697
18083,0.6844,0.8508
18085,0.9751,0.9882
18087,0.9967,0.9706
18089,0.9885,0.9837
18091,0.9985,0.9826
18093,0.4256,0.8806
18095,0.8846,0.9412
18097,0.6223000000000001,0.8658
18099,0.986,0.9642
18101,0.4716,0.8049999999999999
18103,0.8963,0.9619
18105,0.7658,0.917
18107,0.9443,0.9867
18109,0.6304000000000001,0.9162
18111,0.9966,0.9786
18113,0.957,0.9841
18115,0.5354,0.8948
18117,0.24659999999999993,0.866
18119,0.7423,0.9266
18121,0.44309999999999994,0.8522000000000001
18123,0.2399,0.8685
18125,0.7682,0.8953
18127,0.9976,0.9888
18129,0.14789999999999992,0.7937
18131,0.9734,0.9923
18133,0.49549999999999994,0.9359999999999999
18135,0.6672,0.8979
18137,0.5386,0.9551
18139,0.34019999999999995,0.8874
18141,0.9941,0.9824
18143,0.6712,0.9163
18145,0.6181,0.8475
18147,0.48619999999999997,0.9012
18149,0.9992,0.9888
18151,0.9854,0.9753000000000001
18153,0.6,0.847
18155,0.6503,0.891
18157,0.9872,0.9958
18159,0.9503,0.9609
18161,0.7411,0.8916
18163,0.17420000000000002,0.8558
18165,0.5056,0.8632
18167,0.4011,0.855
18169,0.7827999999999999,0.9691
18171,0.8986,0.9578
18173,0.2802,0.9223
18175,0.6256999999999999,0.9243
18177,0.49929999999999997,0.9057
18179,0.8093,0.9644
18181,0.9754,0.9924
18183,0.9549,0.9908
19001,0.6864,0.6143000000000001
19003,0.7005,0.698
19005,0.13029999999999997,0.21399999999999997
19007,0.8436,0.6005
19009,0.14549999999999996,0.7445999999999999
19011,0.7908,0.23349999999999993
19013,0.9324,0.32109999999999994
19015,0.3974,0.2663
19017,0.7258,0.2259
19019,0.48350000000000004,0.4051
19021,0.43779999999999997,0.46499999999999997
19023,0.8626,0.29879999999999995
19025,0.4942,0.6174
19027,0.11509999999999998,0.5854999999999999
19029,0.35139999999999993,0.7478
19031,0.33140000000000003,0.19109999999999994
19033,0.3215,0.22309999999999997
19035,0.8346,0.7223999999999999
19037,0.6111,0.22129999999999994
19039,0.8728,0.4579
19041,0.39259999999999995,0.5803
19043,0.42599999999999993,0.33699999999999997
19045,0.21750000000000003,0.2956
19047,0.346,0.6448
19049,0.6747000000000001,0.2975
19051,0.6829000000000001,0.4455
19053,0.8751,0.5138
19055,0.49439999999999995,0.45909999999999995
19057,0.5442,0.3658
19059,0.28400000000000003,0.6411
19061,0.38769999999999993,0.40279999999999994
19063,0.5819,0.6435
19065,0.5773999999999999,0.3326
19067,0.5666,0.16679999999999995
19069,0.6249,0.40989999999999993
19071,0.11319999999999997,0.517
19073,0.1845,0.5046999999999999
